ما أشرقت شمس
ما هلّ الهلال وبانا
ما رنم الأطيار دوما ذاكر
ما هب في الكون نسمة
ما برق صبح وليل أظلما
وما لاحت الأنوار في كل ليلتي
ما قد ذر شارق
ما دارت السبع الطوابق
ما أسفر الصبح بالأنوار مبتلج
ما ناح قمري على الأغصانا
ما دامت الأنوار منه ضيآءنا  أو لاح نور في السماء وبانا
ما سار ساريا
ما الكون باقيا وما القلم الجاري على اللوح جاريا
وما طلعت شمس وما نار بارق وما لاح برق من سما المجد ساميا
ما ناح أرق الحمام
ما غرد الطير فوق الشجر وما حن حادي نياق سحر
وما لاح ضو  ذكا والقمر وما أشرق الصبح بالابتسام
وما لاحت الأنوار في كل ليلتي
ما دام النجوم تسير
ما دام النسيم يفوع
ما طلعت شمس النهار وما الأنوار قد لمعت
ما دام دهر ودامت مدت الأيام
وما تتابعت الأزمان والأعوام وما لفظ بلسان العرب والأعجام
ما اظلم الدجا
وما غربت شمس وما أشرق القمر
ما دارت سما
وما دجا ليل وما فطرهما
ما نبت نما
ما طار طآير
وما طلعت شمس وما الريح ناسم
ما نسم الصبا
ما تقابل هنعة للفحائم
ما سرى ساري
ما دار ليل ثم صبح مقبلا
ما دامت الأمساء والأصباح
ما دار فلك وهبت الأرياح
ما سرا ساري 
ما هب الصبا 
وما نسم ريح بالشمالي علي الربا
وما بزغة شمس وما لاح كوكب
ما قد ذر شارق
وما جرا قلم بيد الكاتبين
ما هاج موج البحر بين التلاطم
ما هبت الأرياح في قطر الفلا
وما في الأرض ما جاري وما سحب السما قطر 
ما دارت السبع الطوابق
مدا الأزمان ما قد ذر شارق
وما قد هجس فكر وما كوكب زهر 
وما قد شعشع القمر
