 ما هبت الصبا,0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1.txt,"# فوالله لا أنساك ما هبت الصبا %~% وما غقبتها في الرياح جنوب 
",,,,,
 ما هبت الريح,0063AbuDihbilJumahi.Diwan.Sham19Y0149016-ara1.txt,"# 1 - لا يبعد الله عبد الله ليس له ... عندي مزايلة ما هبت الريح
",,,,,
 ما حنت النيب,0110JarirShacir.Diwan.Sham19Y0133412-ara1.txt,"# 1 أما صبير فإن قلوا وإن لوموا ... فلست هاجيهم ما حنت النيب
",,,,,
 ما دام يهتف,0110JarirShacir.Diwan.Sham19Y0133412-ara1.txt,"# 7 أما الفؤاد فليس ينسى ذكركم ... ما دام يهتف في الأراك هديل
",,,,,
 ما هتفت صدوح,0110JarirShacir.Diwan.Sham19Y0133412-ara1.txt,"# 10 فلا أنساك ما هتفت صدوح ... على الأفنان واختلف الأصيل
",,,,,
 ما دامت العين,0182MarwanIbnAbiHafsa.Diwan.ShamAY0037859-ara1.txt,"# وكم من يد عندي لمعن كريمة %~% سأشكرها ما دامت العين تطرف 
",,,,,
 ما لاح برق,0207Waqidi.FutuhSham.Shamela0012045-ara1.completed.txt,"# وابكي على الشهداء لا تغفلي. ... ما لاح برق أو تغنى حمام.
",,,,,
 ما ناح قمري,0207Waqidi.FutuhSham.Shamela0012045-ara1.completed.txt,"# وآله والصحب والاخوان. ... ما ناح قمري على الاغصان.
",,,,,
 ما هبت الري,0207Waqidi.Ridda.Shamela0012222-ara1.mARkdown.txt,"# 10- فعليك السلام ما هبت الري- %~% ح وما ناح فاقدات الحمام
",,,,,
 ما سال في,0209MacmarIbnMuthanna.SharhNaqaidJarir.Sham19Y0013609-ara1.txt,"# أما كليب فإن اللؤم حالفها ... ما سال في حفلة الزباء واديها
",,,,,
 ما هبت الصبا,0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed.txt,"# فو الله لا أنساك ما هبت الصبا ... بكاء وحزنا محضري ومسيري
",,,,,
 ما ناحت مطوقة,0224IbnMuhammadMadaini.Tacazi.Shamela0026863-ara1.txt,"# لأبكينك ما ناحت مطوقة ... وما سريت مع الساري على ساقي
",,,,,
 ما حدا الليل,0231AbuNasrBahili.SharhDiwanDhiRumma.Sham19Y0016545-ara1.txt,"# 45 - ألا لعن الإله بذات غسل ... ومرأة ما حدا الليل النهارا
",,,,,
 ما طلع النجوم,0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1.mARkdown.txt,"# فلا والله أشربها حياتي %~% طوال الدهر ما طلع النجوم
",,,,,
 ما غنى الحمام,0246DicbilKhuzaci.WasayatMuluk.Shamela0000741-ara1.txt,"# نطيع ولا نعصي أخانا الهميسعا ... وأيمن ما غنى الحمام وسجعا
",,,,,
 ما لاح لي,0246DicbilKhuzaci.WasayatMuluk.Shamela0000741-ara1.txt,"# ما لاح لي درك العلا إلا ms20 بها ... وبها اهتديت إلى السبيل المهيع
",,,,,
 ما هبت الصبا,0255Jahiz.Hayawan.Shamela0023775-ara1.completed.txt,"# أعاتك لا أنساك ما هبت الصبا ... وما ناح قمري الحمام المطوق
",,,,,
 ما هبت الصبا,0255Jahiz.Hayawan.Shamela0023775-ara1.completed.txt,"# أعاتك لا أنساك ما هبت الصبا ... وما ناح قمري الحمام المطوق
",,,,,
 ما دام الليالي,0256ZubayrIbnBakkar.AkhbarMuwaffaqiyyat.Shamela0028453-ara1.completed.txt,"# فتالله هل كنا اختلفنا وأنتم %~% على النصر ما دام الليالي الغوابر
",,,,,
 ما دامت بنجد,0256ZubayrIbnBakkar.AkhbarMuwaffaqiyyat.Shamela0028453-ara1.completed.txt,"# فحقك ما دامت بنجد وشيجة %~% عظيم علينا ثم بعد على اليمن
",,,,,
